name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,ADD,DEL,CADD,CDEL,bugs
org.apache.ivy.plugins.latest.LatestRevisionStrategy$ArtifactInfoComparator,2,1,0,6,12,0,1,6,1,0,74,1,1,0,0.6666667,0,0,35.5,-,0,-,-,-,-,0
org.apache.ivy.util.Credentials,11,1,0,7,20,37,7,0,10,0.625,132,1,0,0,0.3939394,1,1,10.636364,6,1,-,-,-,-,0
org.apache.ivy.ant.IvyBuildList$OnMissingDescriptor,1,1,0,0,2,0,0,0,0,2,9,0,0,0,1,0,0,3,-,0,-,-,-,-,0
org.apache.ivy.plugins.repository.TransferEvent,23,2,0,7,33,213,4,3,15,0.9664032,284,0.47826087,2,0.375,0.23913044,0,0,10.347826,6,1,-,-,-,-,0
org.apache.ivy.core.settings.IvyVariableContainerImpl,9,1,1,5,29,0,3,3,6,0.5625,157,1,0,0,0.41666666,0,0,16.222221,5,2,-,-,-,-,0
org.apache.ivy.core.RelativeUrlResolver,3,1,2,7,8,3,7,0,3,2,34,0,0,0,0.7777778,0,0,10.333333,4,2,-,-,-,-,0
org.apache.ivy.core.event.publish.PublishEvent,5,2,2,6,14,2,2,4,4,0.75,60,1,2,0.75,0.33333334,0,0,10.2,1,1,-,-,-,-,0
org.apache.ivy.core.event.retrieve.StartRetrieveEvent,1,3,0,4,2,0,1,3,1,2,9,0,0,1,1,0,0,7,1,1,-,-,-,-,0
org.apache.ivy.core.resolve.ResolveOptions,33,2,0,33,45,390,26,7,32,0.9296875,350,0.8125,1,0.0625,0.16319445,0,0,9.121212,14,3,-,-,-,-,0
org.apache.ivy.plugins.parser.m2.PomDependencyMgt,4,1,0,6,4,6,6,0,4,2,4,0,0,0,1,0,0,0,3,2,-,-,-,-,1
org.apache.ivy.plugins.parser.m2.PomModuleDescriptorBuilder$2,2,1,0,3,4,1,1,2,1,2,41,0,0,0,0.6666667,0,0,19.5,-,0,-,-,-,-,0
org.apache.ivy.util.ConfigurationUtils,2,1,0,6,21,1,3,3,1,2,144,0,0,0,0.5,0,0,71,8,2,-,-,-,-,0
org.apache.ivy.plugins.resolver.AbstractSshBasedResolver,11,5,2,7,27,49,2,0,10,0.8,85,1,0,0.94413406,0.34545454,2,2,6.6363635,6,2,-,-,-,-,0
org.apache.ivy.util.filter.ArtifactTypeFilter,2,1,0,3,6,0,1,2,2,0,26,1,0,0,0.6666667,0,0,11.5,4,1,-,-,-,-,0
org.apache.ivy.core.settings.IvySettings$4,2,1,0,3,4,1,1,3,1,1,17,1,1,0,0.6666667,0,0,7,-,0,-,-,-,-,0
org.apache.ivy.core.module.descriptor.DefaultArtifact,21,2,0,21,38,170,17,4,21,0.6625,224,1,1,0.33333334,0.25396827,1,9,9.476191,8,2,-,-,-,-,0
org.apache.ivy.plugins.conflict.RegexpConflictManager,8,2,0,6,32,20,0,6,4,0.5,221,1,0,0.46153846,0.4,0,0,26.375,7,1,-,-,-,-,0
org.apache.ivy.plugins.resolver.ChainResolver,29,2,0,21,104,236,1,20,22,0.76785713,733,1,0,0.6956522,0.14323607,1,4,24.137932,19,3,-,-,-,-,1
org.apache.ivy.plugins.parser.m2.PomReader,28,1,0,11,72,118,5,10,18,0.9940263,719,0.9677419,0,0,0.22023809,0,0,23.571428,18,3,-,-,-,-,1
org.apache.ivy.core.resolve.ResolvedModuleRevision,12,1,0,35,18,30,32,4,12,0.72727275,99,1,4,0,0.2777778,1,1,6.8333335,8,1,-,-,-,-,0
org.apache.ivy.plugins.resolver.util.FileURLLister,5,1,0,2,22,8,1,1,5,0.5,97,1,0,0,0.4,0,0,18.2,4,1,-,-,-,-,0
