name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,ADD,DEL,CADD,CDEL,bugs
org.apache.synapse.mediators.MediatorWorker,5,1,0,10,21,0,1,9,3,0.5,159,1,2,0,0.5,0,0,30,2,2,120,0,0,-,0
org.apache.synapse.statistics.impl.EndPointStatisticsStack,5,1,0,6,26,0,4,3,5,0.25,288,1,0,0,0.6,0,0,56.2,0,0,-,1,0,-,0
org.apache.synapse.config.xml.IterateMediatorFactory,4,2,0,12,29,2,0,12,3,0.6666667,169,1,0,0.6,0.6666667,0,0,40,3,1,137,0,0,-,0
org.apache.synapse.mediators.builtin.ValidateMediator,11,3,0,17,79,1,3,15,9,0.8142857,563,0.85714287,0,0.6875,0.3030303,1,3,49.545456,11,3,580,1,0,-,0
org.apache.synapse.config.xml.FaultMediatorSerializer,3,2,0,10,32,3,0,10,3,1.5,212,1,0,0.75,0.5555556,0,0,69,1,1,15,1,0,-,1
org.apache.synapse.config.xml.MediatorSerializer,2,1,0,8,2,1,6,2,2,2,2,0,0,0,0.6666667,0,0,0,0,0,-,1,0,-,0
org.apache.synapse.mediators.filters.InMediator,3,3,0,7,16,3,2,5,3,2,74,0,0,0.9166667,0.8333333,1,2,23.666666,5,2,67,1,0,-,0
org.apache.synapse.endpoints.Endpoint,7,1,0,46,7,21,46,1,7,2,7,0,0,0,0.42857143,0,0,0,0,0,-,1,0,-,0
org.apache.synapse.mediators.eip.EIPUtils,5,1,0,11,18,10,2,9,4,1,126,1,0,0,0.5833333,0,0,24,6,2,556,0,0,-,0
org.apache.synapse.mediators.MediatorFaultHandler,6,2,0,10,20,0,4,7,4,0.53333336,106,1,1,0.5555556,0.4,1,2,16.166666,2,2,42,1,0,-,0
org.apache.synapse.config.xml.ValidateMediatorSerializer,3,3,0,12,29,3,0,12,3,2,151,0,0,0.7777778,0.5555556,0,0,49.333332,3,3,48,1,0,-,0
org.apache.synapse.config.xml.InMediatorSerializer,3,3,0,7,15,3,0,7,3,2,46,0,0,0.7777778,0.5555556,0,0,14.333333,1,1,13,1,0,-,0
org.apache.synapse.config.xml.MediatorSerializerFinder,7,1,0,9,29,0,3,6,3,0.5416667,265,1,1,0,0.33333334,0,0,36.285713,8,3,36,1,0,-,0
org.apache.synapse.config.xml.FilterMediatorFactory,4,3,0,11,26,4,0,11,3,0.6666667,193,1,0,0.6666667,0.6666667,0,0,47,2,1,19,1,0,-,0
org.apache.synapse.core.axis2.ProxyServiceMessageReceiver,8,2,0,20,62,0,1,20,4,0.53571427,523,1,1,0.33333334,0.4047619,1,2,63.875,3,2,301,1,0,-,2
